doc_id,entity_id,window,title,body,published_at,url
PR_K000404_2026-01-02_45036,M:K000404,recent,November 2025,"November began with relief as Congress passed a continuing resolution, signed by the President, ending the longest federal government shutdown in history. The measure restored funding through January 30, 2026, allowing federal programs to resume full operations. Nutrition Assistance Program benefits were partially disbursed earlier in the month, with full November benefits ensuring support for thousands of families across Saipan, Tinian, Rota, and the Northern Islands.

I participated in ASU’s Civics in a Year podcast discussing representation in Congress and the unique role of territorial delegates. I also spoke with Northern Marianas College students about local and national issues.

Veterans were honored throughout the month. I participated in the Veterans Day Ceremony, the Run Saipan Veterans Day 5K, and hosted the “Heroes Among Us” Veterans Resource Fair. This event connected veterans with local agencies and community partners, providing access to programs, resources, and support services. These initiatives highlighted the community’s gratitude and commitment to ensuring veterans’ well-being.

Federal support for the Marianas advanced with several key measures. USDA funding included $1.5 million for Saipan, $1 million for Tinian, and $1 million for CHCC projects. HR 5960 was introduced to restore de minimis tariff exemptions for the territories, and a public comment period opened for potential deep-sea mineral leasing offshore CNMI, encouraging local input. Federal grants totaling over $11 million through the Department of the Interior supported infrastructure, education, energy, and natural resource protection.",2026-01-02,https://king-hinds.house.gov/media/newsletters/november-2025
PR_K000404_2026-01-02_72631,M:K000404,recent,October 2025,"October began with a federal government shutdown on October 1, 2025, following Congress’s inability to pass a continuing resolution. Most federal agencies are operating under shutdown procedures, with hundreds of thousands of employees furloughed. Essential services continued, including Social Security but impacts were felt on the Nutrition Assistance Program. I advocated for relief, including a request for CNMI NAP to use unused prior-year funds to maintain benefits for more than 5,500 households.

This month also celebrated CNMI educators and youth leadership. Yeji Lee, 2025 CNMI Teacher of the Year, visited Washington, D.C., along with her partner Jason Atrero, meeting with national leaders and highlighting Marianas education. Students from Fairpoint High School and local schools including Kagman, Saipan Southern, Marianas High, Agape Christian, and Mount Carmel engaged with congressional staff on civic leadership, U.S. aviation policy, and youth programs such as the Congressional App Challenge, Art Competition, and Congressional Award.

I introduced H.R. 5640 which proposes to treat the Marianas as a separate jurisdiction for Byrne JAG funds, and we saw S. 2296 and H.R. 3838 FY26 NDAA include provisions for military readiness, vessel repair, and infrastructure improvements. Federal grants totaling over $6 million, including Climate Change Technical Assistance and conservation funding, support essential services and ecosystem restoration.",2026-01-02,https://king-hinds.house.gov/media/newsletters/october-2025
PR_K000404_2026-01-02_24018,M:K000404,recent,September 2025,"In September, Governor David Apatang led a CNMI delegation to Washington, D.C., meeting with the White House, participating in the Interagency Group on Insular Areas Mid-Year Plenary, and resuming 902 Consultations. These engagements strengthened federal partnerships, addressed disaster recovery, mail service, and air transportation, and advanced CNMI priorities in legislation and federal initiatives.

Congressional efforts in September brought major wins for the CNMI. The FEMA Reform Act (H.R. 4669) includes provisions addressing disaster workforce retention and lessons from Super Typhoon Yutu. The TRAVEL Act, passed by the House, will improve healthcare access for veterans in U.S. territories. The FY26 National Defense Authorization Act incorporated CNMI-focused amendments, including authorizing naval vessel repair in the Marianas, enhancing Defense Access Roads, and supporting military training projects. Other legislative advancements benefiting small businesses and maritime logistics include the FMC Reauthorization Act (H.R. 4183) and SBIR/STTR program extension (H.R. 5100).

Federal and grant support in September 2025 included $250,000 for audit assistance, $669,607 for legal services for victims of violence, $100,000 to the Joeten Kiyu Public Library, and $4.9 million from NOAA for marine debris removal—creating local jobs and restoring coastal ecosystems.

Locally, attention to youth, education, and workforce development continued in September 2025, with visits to Grace Christian Academy, Saipan International School, Northern Marianas College, and the Division of Youth Services. Partnerships with Western Pacific Maritime Academy and discussions on a CNMI National Guard highlight long-term career and security opportunities. A ride-along with COTA showcased the transformative impact of public transit.

September also highlighted cultural and economic outreach through the Joeten Kiyu Public Library and meetings with Japanese officials, reinforcing historic ties and promoting trade, tourism, and investment.",2026-01-02,https://king-hinds.house.gov/media/newsletters/september-2025
PR_M001176_2026-01-02_14933,M:M001176,recent,UPDATE: Merkley Announces First Eight Town Halls of 2026,"UPDATE: Senator Merkley is postponing his Yamhill, Polk, and Marion County town halls scheduled for Friday, January 9 so he can be present in Portland due to the shooting by federal agents of two individuals in East Portland.

His office will share details when the town halls are rescheduled.

As of right now, Saturday and Sunday’s events will go on as planned.

Senator holding in-person conversations in Coos, Curry, Douglas, Jackson, Josephine, Marion, Polk, and Yamhill counties between January 9-11

Washington, D.C. — Oregon’s U.S. Senator Jeff Merkley announced today he will hold his first town halls of 2026, with in-person community conversations in Yamhill, Polk, and Marion counties on Friday, January 9, conversations in Douglas, Coos, and Curry counties on Saturday, January 10, followed by conversations in Jackson and Josephine counties on Sunday, January 11.

The eight events kick-off Merkley’s 2026 town hall tour of Oregon, where he will hold a community conversation in each of the state’s 36 counties.

“I’m looking forward to again visiting wonderful communities all over our state. By talking directly to folks in each county my team and I can go to work for the interests and needs most important in each corner of our state,” Merkley said.

Since taking office in 2009, Senator Merkley has kept his promise to hold an open town hall for each of Oregon’s 36 counties every year.

His upcoming town hall conversations are as follows, with additional details to be sent to local media ahead of each event:

Friday, January 9 — all events postponed

POSTPONED: Yamhill County Town Hall

Time: 10:30 am PT

Location: McMinnville Community Center

600 NE Evans Street, McMinnville, OR 97128

POSTPONED: Polk County Town Hall

Time: 1:00 pm PT

Location: Western Oregon University, WOU Athletics Center (formerly known as New PE)

510 Church St W, Monmouth, OR 97361

(located on North side of Church Street near the corner of Stadium Drive)

POSTPONED: Marion County Town Hall

Time: 3:30 pm PT

Location: Chemeketa Community College, Building 7 Gym

4000 Lancaster Drive NE, Salem, Oregon 97305

Saturday, January 10

Douglas County Town Hall

Time: 11:00 am PT

Location: Umpqua Community College, Southern Oregon Wine Institute

1140 Umpqua College Rd, Roseburg, OR 97470

Coos County Town Hall

Time: 3:00 pm PT

Location: North Bend Community Center

2222 Broadway Ave, North Bend, OR 97459

Curry County Town Hall

Time: 6:00 pm PT

Location: Driftwood School

1210 Oregon St, Port Orford, OR 97465

Sunday, January 11

Jackson County Town Hall

Time: 12:30 pm PT

Location: Ashland High School Gym

201 S Mountain Ave, Ashland, OR 97520

Josephine County Town Hall

Time: 3:30 pm PT

Location: Rogue Community College, Gym (U Building)

3345 Redwood Highway, Grants Pass, OR 97527

###

This press release has been updated.",2026-01-02,https://www.merkley.senate.gov/merkley-announces-first-eight-town-halls-of-2026/
PR_M001111_2026-01-02_84787,M:M001111,recent,"Senator Murray Visits Whatcom County Communities Hit Hard by Recent Flooding, Discusses Recovery and Rebuilding Efforts With Local Leaders & Emergency Management","ICYMI: Senator Murray Meets with Snohomish County First Responders, Tours Recent Flooding; Visits Skagit County Flood Wall, Affirms She Will Fight to Deliver Federal Resources to Support Recovery

ICYMI: In Senate Floor Speech, Senator Murray Commends Rescue Efforts and Response to Devastating Flooding Across WA, Vows to Continue Fighting for Support Needed to Rebuild & Recover

***PHOTOS AND B-ROLL HERE***

Everson, WA — Today, U.S. Senator Patty Murray (D-WA), Vice Chair of the Senate Appropriations Committee, met with local leaders, emergency management staff, and first responders from Whatcom County to discuss ongoing response, recovery, and rebuilding efforts in the region following the severe storms and devastating flooding that hit Washington state in mid-December. Whatcom County was among the most affected regions in Washington state by the historic flooding, with the Nooksack River reaching record major flood stage several times. Everson, Sumas, and Nooksack were hit especially hard in the county.

In Everson, Senator Murray met with Everson Mayor John Perry, and Nooksack Mayor Kevin Hester to discuss the ongoing response efforts and hear how their communities are rebuilding after the floods. After the floods barreled through Everson, it took three days before the river had receded enough to allow residents and business owners to return and inspect the damage. Everson City Hall was completely flooded. The city had just finished renovations on the building after the 2021 floods.

Later, in Sumas, Senator Murray met with Sumas Mayor Bruce Bosch to hear about ongoing response efforts in the area and how the community is recovering from devastating flooding. Sumas also suffered severe flooding in 2021.

Flood prevention programs and infrastructure have been a top priority for the communities of Everson and Sumas, and Whatcom County. At both visits, Senator Murray was also joined by Lummi Nation Chairman Tony Hillaire, Nooksack Indian Tribe Vice Chairwoman Anna Brewer, Ferndale Mayor Greg Hansen, Lynden Mayor Scott Korthuis, Whatcom County Executive Satpal Sidhu, Whatcom County Flood Planning and Mitigation Manager Paula Harris, Whatcom County Public Works Special Projects Manager Roland Middleton, Whatcom County Natural Resources Program Manager Gary Stoyka, Whatcom County Sherriff Donnell “Tank” Tanksley, and Whatcom County Sherriff’s Office Deputy Director of Emergency Management Matt Klein, to hear about the flooding impacts and the developing response plans for the county.

“Even though it has been weeks since the extreme weather and devastating flooding hit our state, for people in communities like Everson and Sumas they are still living through the damage every day. I know towns like these, and many others across the state, have a long way to go when it comes to rebuilding—and I promise to be there every step of the way,” said Senator Murray. “These visits were an important reminder that our communities made it through this devastating flooding because of our local first responders, National Guard, and ordinary people that stepped up to help their neighbors. These floods may have destroyed homes, displaced families, and ruined farmland but I have seen firsthand how people, like right here in Everson and Sumas, are coming together to rebuild and heal. Washington state is resilient, and I promise to continue working in Congress to make sure that Washington state gets all the federal resources it needs to recover.”

Back in December, Senator Murray led Washington state’s entire Congressional delegation in a letter to President Donald Trump urging him to approve Governor Ferguson’s request for an expedited Emergency Declaration for the devastating storms and severe flooding hitting Washington state—that request was approved. Senator Murray visited the FEMA response center in Bothell to thank the staff for working around the clock to help coordinate local response efforts. Senator Murray also visited Snohomish County to hear from local first responders and emergency management officials and toured affected areas around the city of Monroe including Tualco Valley and Ben Howard Road. Senator Murray also met with local leaders in Skagit County to discuss the ongoing response efforts in the region and to see firsthand how the Skagit County Flood Wall protected downtown Mount Vernon during the historic flooding—Murray secured the federal funds to help build the flood wall back in 2006.

Senator Murray continues to reiterate that Congress should support more, not less, investments in climate resilience to help prevent extreme weather events from devastating communities—just as the Skagit County Flood Wall was able to do in December. Back in May, Senator Murray led a bipartisan, bicameral letter with over 80 of her colleagues urging Department of Homeland Security (DHS) Secretary Kristi Noem to reinstate the Building Resilient Infrastructure and Communities (BRIC) program, which supports local efforts to protect and harden our communities from natural disaster. Just recently, Washington and a multistate coalition won their lawsuit against the Trump administration over its unlawful attempt to shut down the Federal Emergency Management Agency’s (FEMA) BRIC program. As a longtime senior appropriator, Murray has always fought to secure the federal resources Washington state needs to recover and rebuild from natural disasters—in Congress, Murray has worked hard to impress upon her colleagues that disaster relief should never be impeded by politics.

###",2026-01-02,https://www.murray.senate.gov/senator-murray-visits-whatcom-county-communities-hit-hard-by-recent-flooding-discusses-recovery-and-rebuilding-efforts-with-local-leaders-emergency-management/
PR_S000522_2026-01-03_82148,M:S000522,recent,Smith gavels in the second session of the 119th Congress,"Rep. Chris Smith (R-NJ) gavels in the second session of the 119th Congress on Saturday, January 3, 2026.

Today, Rep. Chris Smith (R-NJ), the Dean of the New Jersey delegation, presided over the U.S. House of Representatives and commenced the second session of the 119th Congress.

“From securing the official naming of the Bud Lomell VA Clinic to mandating a Government Accountability Office investigation into the true origins of Lyme disease, the first session of the 119th Congress saw the fruition of many years-long legislative efforts,” said Smith, whose comprehensive, $2 billion Autism CARES Act also began its five-year implementation in 2025.

“In 2025, Congress secured the biggest tax cuts for working families through the One Big Beautiful Bill Act, and we reauthorized and fully funded the Nation’s defense activities through the FY 26 NDAA.”

###",2026-01-03,https://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=415220
PR_J000294_2026-01-03_47228,M:J000294,recent,LEADER JEFFRIES STATEMENT ON TRUMP ADMINISTRATION ACTIONS IN VENEZUELA,"Know Your Immigration Rights

If you or a loved one encounter immigration enforcement officials, it is essential that you know your rights and have prepared your household for all possible outcomes.

Ask for a warrant: The Fourth Amendment of the Constitution protects you from unreasonable search and seizure. You do not have to open your door until you see a valid warrant to enter your home or search your belongings.

Your right to remain silent: The Fifth Amendment protects your right to remain silent and not incriminate yourself. You are not required to share any personal information such as your place of birth, immigration status or criminal history.

Always consult an attorney: You have a right to speak with an attorney. You do not have to sign anything or hand officials any documents without speaking to an attorney. Try to identify and consult one in advance.

The New York City Office of Civil Justice and the Mayor’s Office of Immigrant Affairs (MOIA) support a variety of free immigration legal services through local nonprofit legal organizations. To access these resources, dial 311 and say “Action NYC,” call the MOIA Immigration Legal Support Hotline at 800-354-0365 Monday through Friday from 9:00 a.m. to 6:00 p.m. or visit MOIA’s website.",2026-01-03,https://jeffries.house.gov/2026/01/03/leader-jeffries-statement-on-trump-administration-actions-in-venezuela/
PR_L000557_2026-01-03_11564,M:L000557,recent,Larson Statement on Unauthorized Military Operation in Venezuela,"“This is yet another authoritarian power grab by Donald Trump. As he indicated in his address, it’s clear it’s about the oil!!! And securing that oil!!! And securing it with the use of our brave men and women in the United States military!!! The Constitution entrusts Congress, not the President, with the power to declare war for a reason,” said Larson. “It’s Congress’s responsibility to decide whether the nation goes to war or not! That’s why I’m joining with others in calling on the President to immediately brief Congress—and for Congress to assert its authority under the Constitution and the War Powers Act—to let this President know he does not have the authority to unilaterally commit our country to yet another endless war.

“From voting against these unauthorized strikes in December to voting against the war in Iraq, I have consistently stood firm against reckless wars that endanger our nation’s security, undermine our credibility, and force working families to pay the price in blood and dollars,"" Larson continued. ""I will not stand by while this nihilist president bypasses Congress, ignores the rule of law, and commits our nation to yet another open-ended conflict without consent, or justification, or a plan.",2026-01-03,https://larson.house.gov/media-center/press-releases/larson-statement-unauthorized-military-operation-venezuela
PR_B001277_2026-01-03_50831,M:B001277,recent,Blumenthal Statement on Venezuela,"[WASHINGTON, DC] – U.S. Senator Richard Blumenthal (D-CT) released the following statement:

“If we’re starting another endless war, with no clear national security strategy or need, count me out. Maduro is a cruel criminal dictator, but President Trump has never sought approval from Congress for war as the Constitution requires - and our military deserves. We’ve seen several Administrations lead us into conflicts without objectives or timelines and with disastrous consequences. President Trump has also articulated no clear end game to prevent further chaos, violence, and bloodshed in Venezuela. The American people deserve—and Congress should demand—facts and clarity.”

-30-",2026-01-03,https://www.blumenthal.senate.gov/newsroom/press/release/blumenthal-statement-on-venezuela
PR_D000622_2026-01-03_74869,M:D000622,recent,Duckworth Reacts to Trump’s Actions in Venezuela,"[WASHINGTON, D.C.] – Combat Veteran and U.S. Senator Tammy Duckworth (D-IL) issued the following statement regarding Trump’s actions in Venezuela:

“The American people believed Donald Trump when he promised on the campaign trail that he would get our nation out of foreign wars, but this morning we awoke to another stark reminder that he is—and has always been—a liar who has never cared about keeping his promises. The Constitution requires the American people, through their elected representatives in Congress, to authorize any President to engage in acts of war—because they will be the ones to live with the consequences of the decision—and it is unacceptable for this President to deny them that responsibility.

“While Trump—whose love of country is best measured by the number of times he dodged the draft during Vietnam—may believe that war is ‘like watching a TV show’ as he said this morning, he has never understood or appreciated that the true costs of war are measured not only in dollars and cents, but in the blood, sweat and sacrifices of our troops and our military families. Sadly, our troops understand all too well just how costly it can be when our nation engages in war without a plan for what comes next, destabilizing an entire region.

“Donald Trump’s reckless and unconstitutional operations in Venezuela—including this morning’s arrest of a foreign leader—are not about enforcing law and order because if they were, he wouldn’t hide them from Congress. Maduro was unquestionably a bad actor, but no President has the authority to unilaterally decide to use force to topple a government, thrusting us and the region into uncertainty without justification, a defined end-state or a real plan for preventing the instability that could come next. His actions continue putting American troops, personnel and citizens at risk both in the region and around the globe. None of that serves our nation’s interests.”

-30-",2026-01-03,https://www.duckworth.senate.gov/news/press-releases/duckworth-reacts-to-trumps-actions-in-venezuela
PR_D000563_2026-01-03_76345,M:D000563,recent,Durbin Statement On The Trump Administration’s Actions In Venezuela,"SPRINGFIELD – U.S. Senate Democratic Whip Dick Durbin (D-IL) released the following statement after U.S. military forces captured Venezuela President, Nicolás Maduro:

“First and foremost, I disagree with President Trump’s use of U.S. military forces without Congressional approval and worry deeply about this Administration’s follow through on foreign policy interventions. Also, a Justice Department indictment cannot justify the lack of Congressional authorization. At the same time, Nicolás Maduro repeatedly denied the will of the Venezuelan people, including when two thirds of them voted for an end to decades of political and economic ruin and criminality in the summer of 2024. I witnessed with my own eyes their heartbreaking outcries for change when I visited Venezuela in 2018 and shared as much with Maduro at that time.

“I have spoken with opposition leader and Nobel Peace Prize winner María Corina Machado in recent months and believe she and President-elect Edmundo González have the best interests of the Venezuelan people in mind. They should be allowed to begin the formidable task of rebuilding their own nation.”

-30-",2026-01-03,https://www.durbin.senate.gov/newsroom/press-releases/durbin-statement-on-the-trump-administrations-actions-in-venezuela
